iteration,location,policy_statement,source_quote,section_header,extraction_rationale,role,parent_statement,primary_category,financial_instrument,climate_relevance,secondary_category
2,Seattle_US,Seattle City Light will scale Pay for Performance efforts and pilot an innovative utility program exploring Energy Efficiency as a Service in up to 30 buildings.,Scale Pay for Performance efforts and pilot an innovative utility program exploring Energy Efficiency as a Service in up to 30 buildings to unlock greater levels of energy efficiency depth at scale.,## City Light Whole Building Pay for Performance (P4P) Programs,Utility program commitment with a quantified pilot scale (up to 30 buildings) and an incentive/service delivery mechanism.,individual,,Resource Efficiency,yes,indirect,
2,Seattle_US,"Building on existing efforts to reduce energy use 20 percent by 2020, Seattle will double its budget allocation from 2021 to 2025 and set a new target to achieve an overall 40 percent energy and carbon emissions reduction in municipal buildings by 2025.","Building on existing efforts to reduce energy use 20 percent by 2020, the City will double its budget allocation from 2021 to 2025, and set a new target to achieve an overall 40 percent energy and carbon emissions reduction in municipal buildings by 2025.",## Improve municipal building energy efficiency and reduce carbon emissions by 2025,Combines a budget/resource commitment (doubling budget allocation 2021–2025) with a quantified target and deadline (40% by 2025) for a defined municipal scope (municipal buildings).,individual,,Resource Efficiency,yes,direct,Mitigation
2,Seattle_US,"Seattle's Office of Sustainability & Environment (OSE) will propose recommendations to the Mayor aimed at accelerating the transition of 18,000 homes from heating with oil to an electric heat pump.","OSE will propose recommendations to the mayor aimed at accelerating the transition of 18,000 homes from heating with oil to an electric heat pump, and adequately serving those unable to finance the switch alone.",## Oil to heat pump conversion,"Commitment by a named City office to deliver a quantified conversion proposal (18,000 homes); no completion deadline is specified in the quote.",individual,,Mitigation,no,direct,
3,Seattle_US,"In 2011, the Mayor and City Council of Seattle adopted a community-wide climate protection goal for Seattle to become carbon neutral by 2050 and directed the creation of a plan to meet the goal (Resolution 31312).","In 2011, the Mayor and City Council adopted a bold climate protection goal for our community to become carbon neutral by 2050 and directed the creation of a plan to meet the goal (Resolution 31312). The resulting 2013 Climate Action Plan (CAP) provided a coordinated strategy aimed at reducing GHG emissions while also supporting other community goals, including building vibrant neighborhoods, fostering economic prosperity, and enhancing racial and social justice. The 2013 CAP included a slate of near-term actions - many of which were completed by 2015 - and more broadly defined longer-term strategies to achieve carbon neutrality by 2050.",| Background,This is an adopted City goal and directive via a named resolution with a quantified target and deadline (carbon neutral by 2050).,individual,,Mitigation,no,direct,
3,Seattle_US,Seattle City Council adopted Resolution 31757 affirming Seattle's commitment to the goals established in the Paris Agreement and directing the Office of Sustainability & Environment (OSE) to identify actions necessary for Seattle to do its part to limit warming to 1.5°C.,"In response to the Trump administration's withdrawal of support for the international Paris Climate Agreement last year, the City Council adopted Resolution 31757, affirming Seattle's commitment to the goals established in the Paris Agreement, and directing the Office of Sustainability &amp; Environment (OSE) to identify the actions necessary to do our part to limit warming to 1.5 degrees Celsius.",| Background,This is an adopted City Council resolution with a specific directive to a named City office; it is a strong formal-instrument commitment tied to the Paris Agreement and 1.5°C.,individual,,Mitigation,no,direct,
3,Seattle_US,"In 2017, the City of Seattle amended the Seattle Electrical Code to require that new parking provide adequate electrical capacity to serve one electric vehicle charging station per parking space and require construction documents to show the location of equipment and conduit for future EV charging installation.","In 2017, the Seattle Electrical Code was amended to ensure new parking is built to facilitate future electric vehicle charging infrastructure. The code requires adequate electrical capacity to serve one electric vehicle charging station per parking space and that construction documents show the location of equipment and conduit for future installation of electric vehicles charging stations.",Electrical Code,This is an enforceable code amendment with clearly stated technical requirements for new parking.,individual,,Mitigation,no,indirect,
3,Seattle_US,"Seattle City Light is designing and implementing two EV charging infrastructure pilot programs, including installing 20 public fast charging stations through the right-of-way charging pilot program; the residential program is expected to launch in fall 2018.","In response to customers' increasing desire for electric vehicles and to understand how best to manage the impact of vehicle charging on the electrical grid, Seattle City Light is designing and implementing two charging infrastructure pilot programs. The programs will expand public fast charging availability and support residential charging at home. Through the right of way charging pilot program described above, City Light is installing 20 public fast charging stations to increase access, while also ensuring that charging is distributed more equitably around the city. The residential program will offer customers access to inhome charging at a manageable monthly cost and is expected to launch in the fall of 2018.",Transportation,This is a named agency (Seattle City Light) implementation commitment with a quantified infrastructure deliverable (20 fast chargers) and a stated launch timeline for a program.,individual,,Mitigation,no,indirect,
3,Seattle_US,The City of Seattle will pass a new electric vehicle readiness ordinance in 2018 to ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.,"Pass a new electric vehicle readiness ordinance in 2018, which will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.",Electric vehicle readiness ordinance for new construction,This is a clear City legislative commitment with a specified year (2018) and defined scope (parking structures).,individual,,Mitigation,no,indirect,
3,Seattle_US,The City of Seattle will release a map of optimal distribution of charging infrastructure in 2018.,Release map of optimal distribution of charging infrastructure in 2018.,Charging station network map & strategy,This is a time-bound City deliverable (map release in 2018) intended to guide charging deployment and investment.,individual,,Mitigation,no,indirect,
3,Seattle_US,"Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings 20,000 square feet or larger to track energy performance and annually report to the City; the policy was updated in 2016 to make reported data publicly available.","Adopted in 2010, Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings (20,000 square feet or larger) to track energy performance and annually report to the City. The policy was updated in 2016 to make reported data publicly available to further increase awareness of building energy use and support real estate market transformation.",Benchmarking,This is an enforceable municipal code requirement with defined building size threshold and annual reporting; the 2016 update adds a transparency requirement.,individual,,Resource Efficiency,no,indirect,
3,Seattle_US,"The City of Seattle's Building Tune-Ups Ordinance (SMC 22.930), adopted in 2016, requires commercial buildings 50,000 square feet or larger to identify operations and maintenance improvements to improve energy and water efficiency; compliance deadlines are phased in by building size beginning in early 2019, and a Qualified Tune-Ups Specialist must complete the assessment and report to the City.","Adopted in 2016, the Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 square feet or larger to identifying low- or no-cost building operations and maintenance improvements to improve energy and water efficiency. Compliance deadlines will be phased in by building size, beginning in early 2019.  A Qualified Tune-Ups Specialist is required to complete the assessment, report to the City, and monitor implementation of operational and maintenance improvements.",Tune Ups,This is an enforceable ordinance requirement with a defined size threshold and stated compliance phase-in start.,individual,,Resource Efficiency,no,indirect,
3,Seattle_US,The City of Seattle committed via Resolution 31652 to meet the Building Tune-Ups deadline one year earlier than required for private owners.,"To demonstrate leadership, build capacity in the industry, and help reduce compliance costs, the city has committed (Resolution 31652) to meeting the Building Tune-Ups deadline one year earlier than required for private owners.",Tune Ups,"This is a formal commitment referenced to a named resolution, specifying an accelerated compliance timeline for City buildings.",individual,,Resource Efficiency,no,indirect,
3,Seattle_US,"With funding from a U.S. Department of Energy grant, the City of Seattle is implementing the Building Tune-Up Accelerator Program to provide incentives for early compliance with the Tune-Ups Ordinance for owners of mid-size buildings (50,000–100,000 square feet).","With funding from a Department of Energy grant, the City is implementing the Building Tune-Up Accelerator Program providing incentives for early compliance with the Tune-Ups Ordinance. The Accelerator is a voluntary program for owners of mid-size buildings, those 50,000-100,000 square feet, to conduct a tune-up that meets the Seattle Building Tune-Up requirements in advance of when their building is required to comply (2020 &amp; 2021).",Tune-Up Accelerator,This is a funded program implementation (DOE grant) that provides incentives (financial instrument) and specifies the eligible building size range and early-compliance timing.,individual,,Resource Efficiency,yes,indirect,
3,Seattle_US,Seattle's 2015 Seattle Energy Code includes criteria that address emissions by requiring either non-fossil-fuel-based heating or more efficient windows for covered commercial buildings (including multifamily buildings four stories and above).,"The 2015 SEC includes criteria that address emissions, by requiring either non-fossil fuel-based heating or more efficient windows.",Energy Code,This is a code requirement that explicitly addresses emissions through specified compliance pathways.,individual,,Mitigation,no,direct,Resource Efficiency
3,Seattle_US,"In 2011, the City of Seattle updated its Sustainable Building Policy for City-owned buildings to require LEED Gold certification for new construction and major renovations and to expect projects to be 15 percent more energy efficient than the current code.","In 2011, the City updated its Sustainable Building Policy for City-owned buildings covering new construction and major renovations. In addition to the requirement to achieve LEED Gold certification, projects are expected to be 15 percent more energy efficient than the current code.",Municipal Buildings,This is a municipal (City-owned) building policy requirement with specified certification and quantified efficiency expectation.,individual,,Resource Efficiency,no,indirect,
3,Seattle_US,"In 2013, the City of Seattle adopted the Resource Conservation Management Plan (Resolution 31491) with a goal to achieve a 20 percent reduction in energy use across City-owned buildings by 2020 from a 2008 baseline, with dedicated funding managed by the Office of Sustainability & Environment.","In 2013, the City adopted a Resource Conservation Management Plan (Resolution 31491), with the goal to achieve a 20 percent reduction in energy use across City-owned buildings by 2020 (2008 baseline). The Office of Sustainability &amp; Environment manages the dedicated funding and works with individual capital departments to prioritize, develop and implement energy efficiency projects.",Municipal Buildings,"This is an adopted plan via resolution with a quantified target, deadline, and baseline; the quote also states dedicated funding as the implementation mechanism.",individual,,Resource Efficiency,yes,indirect,
3,Seattle_US,Seattle's Oil Heated Home Conversion program provides incentives for homeowners to replace oil heating systems with electric heat pumps and is converting 200 homes per year.,"The Oil Heated Home Conversion program provides incentives for homeowners to replace oil heating systems with clean, efficient, electric heat pumps. By partnering with a heat pump distributor, who provides matching incentives, the program is converting 200 homes per year, while also influencing the home heating market so that electric heat pumps become a preferred heating system.",Oil Heated Home Conversion,This is an implemented incentive program (financial instrument) with a quantified annual conversion rate.,individual,,Mitigation,yes,indirect,
3,Seattle_US,"Seattle's Green Fleet Action Plan guides the City's efforts to reduce municipal fleet emissions by 50 percent by 2025 through electrification, cleaner fuels when electrification is not feasible, improved efficiency in vehicle use, and vehicle procurement standards.","The Green Fleet Action Plan guides the City's efforts to meet the goal to reduce municipal fleet emissions by 50 percent by 2025 by increasingly electrifying the fleet, using cleaner fuels when electrification is not feasible, increasing efficiency in how vehicles are used, and setting standards for vehicle procurement.",Municipal Fleet,This is a quantified municipal fleet emissions-reduction target with a deadline and described mechanisms.,individual,,Mitigation,no,indirect,
3,Seattle_US,The City of Seattle will create a new Green Fleet Action Plan by the end of 2018 to accelerate electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.,"Create a new Green Fleet Action Plan, by the end of 2018, to accelerate the electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.",Green Fleet Action Plan update,This is a time-bound commitment to create an updated City fleet plan with explicit electrification and fossil fuel phase-out direction.,individual,,Mitigation,no,direct,
3,Seattle_US,Seattle City Light will scale Pay for Performance efforts and pilot an innovative utility program exploring Energy Efficiency as a Service in up to 30 buildings to unlock greater levels of energy efficiency depth at scale.,Scale Pay for Performance efforts and pilot an innovative utility program exploring Energy Efficiency as a Service in up to 30 buildings to unlock greater levels of energy efficiency depth at scale.,City Light Whole Building Pay for Performance (P4P) Programs,This is a utility program commitment with a quantified pilot scope (up to 30 buildings).,individual,,Resource Efficiency,no,indirect,
3,Seattle_US,"Seattle's Mayor will direct the Office of Sustainability & Environment to work with departments to define the types of projects to assess for GHG emissions, the assessment method, and how to account for broader costs of carbon by October 2018.","City policies, plans and major investments have wide reaching and long-term climate impacts.  However, the City lacks a systematic way to assess the GHG emissions associated with major City actions, and to consider the cost of those emissions during the planning process. Creating such a system would help the City make better decisions in the short-term and be prepared for future financial impacts, such as carbon pricing. The Mayor will direct the Office of Sustainability &amp; Environment to work with departments to define the types of projects to assess, the assessment method, and how to account for the broader costs of carbon, by October 2018.",GHG EMISSIONS ASSESSMENT,This is a mayoral directive with a clear deadline (October 2018) to establish a systematic GHG assessment approach for major City actions.,individual,,Mitigation,no,direct,
3,Seattle_US,The City of Seattle will prioritize legislation in the 2019 legislative session to allow for tiered residential energy codes in Washington State.,Legislation to allow for tiered energy codes will be a priority for the City of Seattle in the 2019 legislative session.,Washington State tiered residential energy code,This is an explicit City legislative priority with a specified timeframe (2019 session).,individual,,Resource Efficiency,no,indirect,
3,Seattle_US,The City of Seattle will double its budget allocation from 2021 to 2025 and set a new target to achieve an overall 40 percent energy use and carbon emissions reduction in municipal buildings by 2025.,"City-owned buildings comprise four percent of commercial building area of the city. The City will lead the way toward performance standards by aiming to reduce energy and emissions from our own building portfolio. Building on existing efforts to reduce energy use 20 percent by 2020, the City will double its budget allocation from 2021 to 2025, and set a new target to achieve an overall 40 percent energy and carbon emissions reduction in municipal buildings by 2025.",Improve municipal building energy efficiency and reduce carbon emissions by 2025,This is a budget/resource commitment (doubling budget allocation 2021–2025) paired with a quantified municipal performance target and deadline (40% energy and carbon reduction by 2025).,individual,,Mitigation,yes,direct,Resource Efficiency
