role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,secondary_category,is_financial_instrument,climate_relevance
sub,ALIGN BUILDING CODES AND STANDARDS WITH CLIMATE BEST PRACTICES,Enable net-zero-carbon construction by 2040,"In alignment with Building Decarbonization Working Group report by the Intergovernmental Panel on Climate Change, the City will enable net-zero-carbon construction by 2040. Net-zero construction standards can dramatically reduce built environment GHG emissions. In addition to targeting energy-related emissions once buildings are in use, net-zero-carbon construction incentives will also target embodied carbon-the emissions associated with the production, transportation, and disposal of building materials and the building construction process.",ALIGN BUILDING CODES AND STANDARDS WITH CLIMATE BEST PRACTICES,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
parent,,DECOMMISSION FOSSIL POWER,Making our electric grid cleaner requires more than improving access to renewable energy generation or incentivizing demand response. The City must also look to where our energy is being produced and how it is being produced. Illinois continues to rely on fossil-fueled power plants for backup power generation when energy demand is extremely high.,DECOMMISSION FOSSIL POWER,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Resource Efficiency,,False,indirect
sub,DECOMMISSION FOSSIL POWER,Develop a fossil-fuel plants transition strategy by 2024,"GHG Impacts ◆◆◆ City Partners AIS By 2024, the City will develop a peaker plant (power plant used only when there is a high demand for electricity) transition strategy with guidance for an equitable, safe, and inclusive process. Transitioning to the use of alternatives such as battery storage and renewable energy will reduce emissions and alleviate the burden of legacy pollution exposure. In addition, the City will work with local, state, and regional partners during implementation of the Climate and Equitable Jobs Act (CEJA) to ensure the benefits of a just energy tran -sition support Chicago residents and businesses as well.",DECOMMISSION FOSSIL POWER,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
parent,,ENABLE INTERCONNECTION AND STORAGE,"To ensure that cleaning our electric grid enhances power reliability and resiliency, Chicago will increase energy storage and distribution, and will promote better demand response during periods of peak electricity usage. Community energy resiliency, via renewable energy generation combined with energy storage, can help communities withstand power-loss events. Power losses caused by severe weather or surges in energy consumption can pose serious threats to Chicagoans, particularly those who are low-income, medically dependent, elderly, or who have disabilities.",ENABLE INTERCONNECTION AND STORAGE,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Resource Efficiency,,False,indirect
sub,ENABLE INTERCONNECTION AND STORAGE,Ensure 150 megawatts of energy storage by 2025,"GHG Impacts ◆◇◇ City Partners AIS, CCC, CFD, CHA, CPS, DOB, DPD Investing in energy storage capacity is necessary to enable a full transition to renewable energy. Wind and solar production vary daily and seasonally, making storage critical to reliable supply from renewables 24 hours a day. Building storage capacity adds grid flexibility and reliability and has air quality benefits.",ENABLE INTERCONNECTION AND STORAGE,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
sub,ENABLE INTERCONNECTION AND STORAGE,"Invest in 1,000 megawatts of demand response by 2024, and 3,000 megawatts by 2035","Energy demand surges occur when many energy customers use significant amounts of energy at the same time (for example: using air conditioning during heat waves). These surges can exacerbate air pollution and cause power losses for many Chicagoans. To avoid this, energy demand reduction programs enable users to consume less power overall, including during peak hours.",ENABLE INTERCONNECTION AND STORAGE,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Resource Efficiency,,True,direct
parent,,COLLECT RELEVANT DATA,The percentage of household income spent on energy costs (energy burden) and pollution exposure are unique to each household. Proximity to pollution sources like roadways or industrial facilities determines the quality of air and soil that each household experiences. Electricity and gas rates that customers pay determine the percentage of household income spent on energy services (amount of energy burden).,COLLECT RELEVANT DATA,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Mitigation,,False,indirect
sub,COLLECT RELEVANT DATA,Report energy burden by community area by 2023,"GHG Impacts ◆◇◇ City Partners CDPH, OERJ Energy burden is experienced when households spend so much income on electricity or gas bills that it is difficult to buy food, access transportation, and grow wealth. The City will analyze energy reports and other data sources to identify where building retrofits or energy subsidies are most needed. Tracking this data over time will also measure progress toward achieving the City's equity goals.",COLLECT RELEVANT DATA,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
sub,COLLECT RELEVANT DATA,Develop a water and soil quality measurement and mitigation strategy by 2023,"A commitment to advancing environmental justice recognizes the difference in exposure to contaminants based on proximity to sources of pollution. Water quality can change as water infrastructure ages or as water sources become polluted. Poor water quality can expose people to dangerous contaminants and chemicals, which can adversely affect the health of individuals.",COLLECT RELEVANT DATA,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,indirect
sub,COLLECT RELEVANT DATA,Establish a robust outdoor air quality monitoring network by 2025,"Exposure to pollutants such as ozone and PM2.5 (particulate matter that is 2.5 microns in size) is associated with increased risk of respiratory infections, lung irritation, asthma, cardiovascular disease, cancer, and early death. Fossil-fuel combustion has a negative impact on climate change and air quality, both indoors and outdoors. By reducing fuel combustion and increasing nature-based solutions (for example, planting trees in neighborhoods), climate action can improve air quality.",COLLECT RELEVANT DATA,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Adaptation,,False,direct
parent,,ENABLE DATA-DRIVEN DECISION-MAKING,"Achieving equity across neighborhoods will require that City policymakers and implementers have relevant and accurate data when making decisions. By integrating decision-making with equity criteria, City decisions can be made to objectively prioritize health outcomes. In collaboration with community groups and frontline leaders, the City will define health and equity indica -tors building on the past framework of the Health in All Policies City resolution and the Healthy Chicago 2025 plan advancing racial equity to close Chicago's life expectancy gap.",ENABLE DATA-DRIVEN DECISION-MAKING,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Mitigation,,False,indirect
sub,ENABLE DATA-DRIVEN DECISION-MAKING,Publish clean energy just transition metrics by 2022,"GHG Impacts ◆◇◇ City Partners CDOT, CDPH, DPD The transition from fossil fuels to a clean-energy economy will certainly bring significant health and environmental benefits. The City must meet this moment of transition with tools and processes that support greater pathways to participation, access to workforce development and employment opportunities, and safe, healthy communities. A collaboration between diverse, local stakeholders affected by the clean-energy transition will support the optimal alignment and application of the parameters set forth in the Climate and Equitable Jobs Act (CEJA).",ENABLE DATA-DRIVEN DECISION-MAKING,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
sub,ENABLE DATA-DRIVEN DECISION-MAKING,Integrate community resilience and climate justice criteria into department-level strategic planning and annual budget setting by 2023,"In alignment with the City's mission to advance structural change to deliver equitable transformation with our communities, departments will begin to intentionally consider how standard practices can be used to support or impair community resilience and climate justice. The City will work with stakeholders to identify key health, resilience, climate, and equity criteria to assess. Leaning upon lessons from the We Will Chicago strategic planning process and OERJ's work to support departmental equity strategic plans, the City will develop a standard practice that can be used to support departments' assessments and refine their strategies.",ENABLE DATA-DRIVEN DECISION-MAKING,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
sub,ENABLE DATA-DRIVEN DECISION-MAKING,"Develop a Heat Vulnerability Index and integrate into planning and development, community safety, and public health planning processes beginning in 2023","In 1995, Chicago experienced the loss of more than 700 residents during an extreme heat wave. Residents who were socially isolated, didn't have indoor cooling appliances, or were unable to open their windows for cooling were more likely to experience dangerous heat levels within the home. To this day, this historic event serves as a reference point for the Office of Emergency Management and Communications (OEMC) and partners who develop and execute strategies to keep residents and businesses safe during times of crisis.",ENABLE DATA-DRIVEN DECISION-MAKING,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Adaptation,,False,direct
sub,ENABLE DATA-DRIVEN DECISION-MAKING,Publish citywide and community-level qualityof-life metrics on equity and sustainability by 2023,"Quality of life is commonly measured at the country or city level. When income and access to services and amenities are evaluated citywide, Chicago consistently ranks as an affordable city with excellent job opportunities and many recreation options. In reality, many Chicagoans struggle to afford life in the city.",ENABLE DATA-DRIVEN DECISION-MAKING,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,indirect
sub,ENABLE DATA-DRIVEN DECISION-MAKING,Assess and optimize community-level emergency management strategies related to climate preparedness by 2024,"The Office of Emergency Management and Communications (OEMC) is Chicago's lead coordinating agency during emergency situations, including weather-related incidents. The OEMC proactively plans for hazards and oversees citywide operations for public safety such as the initiation of the City's Emergency Operation Plan, activation of warming and cooling sites, and communicating through public messages systems such as Notify Chicago. While a climate hazard may affect the greater city or region, its impact may be unequally felt due to communities' underlying physical, socioeconomic, and health conditions.",ENABLE DATA-DRIVEN DECISION-MAKING,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Adaptation,,False,direct
parent,,ENABLE COMMUNITY RESILIENCY,"Throughout the COVID-19 pandemic, neighbors, community groups, civic organizations, and local businesses banded together to assess and meet the needs of fellow community members during an unbelievably tumultuous time. Again, community cohesion and ready access to resources served as a lifeline for thousands during a crisis. As the City strives to reduce emission levels, there must also be an effort to enable greater community resilience to withstand the impacts that are underway.",ENABLE COMMUNITY RESILIENCY,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Mitigation,,False,direct
sub,ENABLE COMMUNITY RESILIENCY,Resource community-led climate infrastructure projects by 2022,"GHG Impacts ◆◇◇ City Partners DPD Pairing citywide infrastructure investments with community-designed resiliency projects creates more effective and relevant projects to those living within a community. By engaging residents and local leadership in project design, development, and implementation, the City can foster deeper relationships with those experiencing the climate hazards most directly and better serve those communities. B GHG Impacts ◆◇◇ City Partners CDPH, DFSS, DPD, MOPD, OEMC",ENABLE COMMUNITY RESILIENCY,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Mitigation,,False,direct
sub,ENABLE COMMUNITY RESILIENCY,Integrate community resiliency strategies with the City's hazard mitigation planning by 2023,"As part of the City's regular hazard mitigation planning process, senior residents, people with disabilities, and residents living in high-risk geographic areas are recognized as most vulnerable to the negative impacts of hazards and natural disasters. As a part of the next planning cycle, the Office of Emergency Management and Communications (OEMC) will continue to explicitly develop resiliency goals and metrics to reduce the social, economic, and environmental impacts of disasters with a particular analysis of how to foster greater community resiliency during times of crisis. !!!! ADAPT",ENABLE COMMUNITY RESILIENCY,Specific commitment with a defined intervention and/or a quantified target and/or deadline.,Adaptation,,False,indirect
parent,,ADAPTATION AND RESILIENCY,"The goals of the 2022 CAP are ambitious and illustrate the need for collective, coordinated, and equitable action for optimal impact. As we work together to slow the pace of climate change through mitigation strategies, it is important to take action to minimize the impact of the changes we can no longer avoid. A wide variety of strategies can be used to stabilize current emissions levels and adapt to known shifts in our region's climate patterns.",ADAPTATION AND RESILIENCY,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Mitigation,,False,direct
parent,,ACCOUNTABILITY AND IMPLEMENTATION,"Guided by the strategies and actions of this plan, the City of Chicago aims to reduce the city's level of GHG emissions by 62% by 2040, based on 2017 GHG inventory levels. While the urgency of the global climate crisis demands ambitious GHG reduction, the City also recognizes the monumental opportunity to invest in Chicago's residents, our communities, and our shared future. Intentional and coordinated implementation between city departments, sister agencies, community-based organizations, residents, and advocates can drive transformational changes.",ACCOUNTABILITY AND IMPLEMENTATION,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Mitigation,,False,direct
parent,,LOOKING AHEAD,"A truly resilient city is one that not only adapts and performs during stable periods but also recovers safely and effectively after challenges (Resilient Chicago). A city's ability to cope with climate change should be defined by the ability of its residents, communities, institutions, businesses, and systems to endure, adapt, and grow despite any sudden or slowly unfolding shocks and any lingering stresses. The hazards and impacts associated with climate change require policy changes, engagement with frontline and other communities, and strategic and appropriate infrastructure investments designed to protect our whole community-people, natural systems, and our built environment.",LOOKING AHEAD,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Mitigation,,False,direct
parent,,IMPLEMENTATION TABLE,"| Action ID | 2022 CAPAction | |-------------|--------------------------------------------------------------------------------------------------------------------------------| | 1.1.A | Retrofit residentialbuildingswith4orfewerunits:20%by2030and50% by 2040, prioritizing lower- and middle-income households | | 1.1.B | Retrofit 20%of total 5+ unit residential buildings by 2030 | | 1.1.C | Retrofit 20%of total industrial buildings by 2030 | | 1.1.D | Retrofit 90% of total City-owned and Sister Agency-owned buildings by 2035 | | 1.1.E | Retrofit 20%of total commercial buildings by 2035 | | 1.2.A | Install 5 megawatts of co-owned community solar projects by 2025 | | 1.2.B | IncreaseChicago-basedcommunityrenewablesto20megawattsby2025 | | 1.2.C | Increasecommunityrenewablessubscriptionstoachieve25%subscribed bylow-incomeand/orenvironmentaljusticelow-incomeresidentsby2030 | | 2.1.A | Introducecommunity-wideorganicwastecollectionanddecomposition by 2025 | | 2.1.B | Implement equitable waste source prevention strategies by 2030 | | 2.1.C | Divert 90%ofcommercial, industrial, and institutional waste by 2030 | | 2.1.D | Divert 75%of construction and demolition waste by 2030 | | 2.1.E | Enable building design for disassembly and reuse by 2035 | | 2.1.F | Divert 90%ofresidential waste by 2040 | | Metrics | City Partners | Timeframe | Action Status | |----------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------|--------------|-----------------| | Percentage of buildings retrofitted; greenhouse gases avoided | CHA,DOB,DOH, DPD | 5+ years | In progress | | Percentage of buildings retrofitted; greenhouse gases avoided | CHA,DOB,DOH, DPD | 5+ years | In progress | | Percentage of buildings retrofitted; greenhouse gases avoided | DOB,DPD,BACP | 5+ years | In progress | | Percentage of buildings retrofitted; greenhouse gases avoided | AIS, CCC, CDA, CDOT, CHA, CPD, CPS, CTA, DOB, DWM,PBC | 5+ years | In progress | | Percentage of buildings retrofitted; greenhouse gases avoided | DOB,DPD | 5+ years | In progress | | Megawatts installed | AIS, CCC, CHA, CPS, DOB,DPD | 3 to 5 years | In progress | | Megawatts installed | BACP,DFSS,DPD | 3 to 5 years | In progress | | Numberofsubscriptions from lower- to middle-class house- holds; number of subscriptions from environmental justice neighborhoods | BACP,DFSS,DPD | 5+ years | In progress | | Numberofcompostsites;poundsoforganicscollectedannually | CDPH,CPS, DPD, DSS | 3 to 5 years | In progress | | Numberofcommunities served; percentage waste diversion | BACP,CDPH,DOB, DPD,DSS | 5+ years | Not in progress | | Percentage waste diverted | CDPH,DOB,DPD, DSS | 5+ years | Not in progress | | Percentage waste diverted | CDPH,DOB,DPD, DSS | 5+ years | Not in progress | | Percentage waste diverted | DOB,DPD | 5+ years | Not in progress | | Percentage waste diverted | CDPH,DOB,DPD, DSS | 5+ years | Not in progress | !!!! ## IMPLEMENTATION TABLE (cont.) | Action ID | 2022 CAPAction | |-------------|-------------------------------------------------------------------------------------------------------------------------------------| | 3.1.A | Expandhigh-qualityandlow-stresson-streetbikewaysandoff-streettrails | | 3.1.B | Increase Divvy bikes and shared micromobility trips30%by2030 | | 3.1.C | EnableChicagoanstowalk,bike,taketransit,orusesharedmicromobility for 45%ofall trips by 2040 | | 3.2.A | Update land use policies to encourage sustainable development, acces- sibility, and street safety by 2023 | | 3.2.B | Expand use of commuter benefits by 2024 | | 3.2.C | Requiretransportationdemandmanagementplansfornewdevelopment by 2025 | | 3.2.D | Update citywide car and bike parking requirements by 2025 | | 3.2.E | Increase CTAridershipby20%by2030 | | 3.3.A | Enableelectricfreightloadingdocksatcommercialandindustrialbuildings, addressing newbuildings by 2025 and existing buildings by 2030 | | 3.3.B | Support equitable electrification of ride-hail and taxi fleets by 2030 | | 3.3.C | Enable 100% electrification of delivery fleets by 2035 | | 3.3.D | Electrify 100% of the City's fleet by 2035 | | 3.3.E | Achieve zero-emission transit fleets across Chicagoland by 2040 | | Metrics | City Partners | Timeframe | Action Status | |----------------------------------------------------------------------|-------------------------|--------------|-----------------| | Numberofmiles of newbikeways and trails; GHGavoided | CDOT,DPD | 5+ years | In progress | | Percentage increase in Divvy bikes and micromobility use; GHGavoided | CDOT,DPD | 5+ years | In progress | | Percentageincreaseinnon-carmodeshare;greenhousegases avoided | CDOT,CTA,DPD | 5+ years | In progress | | Date of passage/adoption | CDOT,CTA,DOH,DPD | 1 to 3 years | In progress | | Percentage increase in commuter benefits | BACP, CDOT,CTA | 1 to 3 years | In progress | | Date of passage/adoption | CDOT,DPD | 3 to 5 years | Not in progress | | Date of passage/adoption | CDOT,DPD | 3 to 5 years | Not in progress | | Percentage increase in CTAridership | CDOT,CTA,DPD | 5+ years | In progress | | Numberofnewelectric freight loading docks installed | CDOT,DOB,DPD | 3 to 5 years | Not in progress | | Percentage of fleet electrified; greenhouse gases avoided | BACP,CDOT | 5+ years | In progress | | Percentage of fleet electrified; greenhouse gases avoided | DOB,DPD | 5+ years | Not in progress | | Percentage of fleet electrified; greenhouse gases avoided | AIS,CDOT,CPS | 5+ years | In progress | | Percentage of fleet electrified; greenhouse gases avoided | CTA,DOB,DPD,Metra, PACE | 5+ years | In progress | !!!! ## IMPLEMENTATION TABLE (cont.) | Action ID | 2022 CAPAction | |-------------|-----------------------------------------------------------------------------------------------------------------| | 4.1.A | Aggregate5,000megawattsofcleanrenewableenergywithina250-mile radius of Chicago by 2030 | | 4.1.B | Install30megawattsofcleanrenewableenergyprojectsonCityproperty by 2030 | | 4.1.C | Achieve 100%clean renewable energy community-wide by 2035 | | 4.2.A | Enact policies that support electrified renovations andnewconstruction by 2023 | | 4.2.B | Electrify 30%oftotal existing residential buildings by 2035 | | 4.2.C | Electrify 20%oftotal existing industrial buildings by 2035 | | 4.2.D | Electrify 10%of total existing commercial buildings by 2035 | | 4.2.E | Electrify 90%oftotal existing City-owned buildings by 2035 | | 4.2.F | Enable 2,500 new public passenger electric vehicle charging stations by 2035 | | 4.3.A | Strengthenpoliciesthatsupportinstallationofgreenroofsandwalls,tree planting, and other vegetative cover by 2023 | | 4.3.B | Enable net-zero-carbon construction by 2040 | | 4.4.A | Develop a fossil-fuel plants transition strategy by 2024 | | 4.5.A | Ensure 150 megawatts of energy storage by 2025 | | 4.5.B | Encourage 1,000 megawatts of new energy demand reduction by 2030, and 3,000 megawatts by 2040 | | Metrics | City Partners | Timeframe | Action Status | |---------------------------------------------------------------|---------------------------------|--------------|-----------------| | Megawatts installed | AIS,DOB,DPD | 5+ years | In progress | | Megawatts installed | AIS, CCC, CHA, CPS, DOB,DPD | 5+ years | In progress | | Megawatts installed | AIS, CCC, CHA, CPS, DOB,DPD | 5+ years | In progress | | Percentage electrified; date of passage/adoption | BACP, CDOT, DOB, DPD | 1 to 3 years | In progress | | Percentage of buildings electrified; greenhouse gases avoided | CDOT, CHA, DOB, DOH,DPD | 5+ years | In progress | | Percentage of buildings electrified; greenhouse gases avoided | BACP,DOB,DPD | 5+ years | Not in progress | | Percentage of buildings electrified; greenhouse gases avoided | DOB,DPD | 5+ years | In progress | | Percentage of buildings electrified; greenhouse gases avoided | AIS, CDA, DOB, DPD, DWM,PBC | 5+ years | In progress | | Numberofstations | CDOT,CTA,DPD | 5+ years | In progress | | Date of passage/adoption | AIS, CDOT, CPD, DOB,DPD,DSS | 1 to 3 years | In progress | | Date of passage/adoption; greenhouse gases avoided | CFD,DOB,DPD | 5+ years | In progress | | Date of final plant closure | AIS | 1 to 3 years | In progress | | Megawatts of energy storage installed | AIS, CCC, CFD, CHA, CPS,DOB,DPD | 3 to 5 years | Not in progress | | Megawatts of demandresponse increased | AIS, CCC, CHA, CPS, DOB,DPD | 5+ years | In progress | !!!! ## IMPLEMENTATION TABLE (cont.) | Action ID | 2022 CAPAction | |-------------|------------------------------------------------------------------------------------------------------------------------------------------| | 5.1.A | Report energy burden by community area by 2023 | | 5.1.B | Develop a water and soil quality measurement and mitigation strategy by 2023 | | 5.1.C | Establish a robust outdoor air quality monitoring network by 2025 | | 5.2.A | Publish just energy transition metrics by 2022 | | 5.2.B | Integrate community resilience and climate justice criteria into depart- ment-level strategic planning and annual budget setting by 2023 | | 5.2.C | DevelopaHeatVulnerabilityIndexandintegrateintoplanninganddevel- opment,communitysafety,andpublichealthplanningprocessesbeginning in 2023 | | 5.2.D | Publish citywide and community-level quality-of-life metrics on equity and sustainability by 2023 | | 5.2.E | Assessandoptimizecommunity-levelemergencymanagementstrategies related to climate preparedness by 2024 | | 5.3.A | Resource community-led climate infrastructure projects by 2022 | | 5.3.B | IntegratecommunityresiliencystrategieswiththeCity'shazardmitigation planning by 2023 | | Metrics | City Partners | Timeframe | Action Status | |----------------------------------------------------------------------------|---------------------------|--------------|-----------------| | Date whendata is published | CDPH,OERJ | 1 to 3 years | Not in progress | | Date whenstrategy is adopted | AIS,CPD,DWM | 1 to 3 years | Not in progress | | PercentageincreaseinCity-coverage;numberofnewairquality monitors installed | AIS,CDOT,CDPH, CPS,CTA | 1 to 3 years | In progress | | Date whenreport is published | CDPH,DPD,OERJ | 1 to 3 years | Not in progress | | Date whenpolicy is adopted | CDPH,DFSS,DPD | 1 to 3 years | In progress | | Date whenindex is published | CDPH,DFSS, DPD, MOPD,OEMC | 1 to 3 years | Not in progress | | Date whenreport is published | CDOT,CDPH,DOB, DPD | 1 to 3 years | Not in progress | | Date whenreport is published | CDPH,DFSS, DPD, MOPD,OEMC | 1 to 3 years | Not in progress | | Moneyallocated | DPD | 1 to 3 years | In progress | | Date whenpolicy is adopted | CDPH,DFSS, DPD, MOPD,OEMC | 1 to 3 years | Not in progress | CHISTARCHISTARCHISTARCHISTAR ## APPENDIX ## Methodologies: Equity Maps Summary : The City of Chicago Mayor's Office Policy Team (City) along with WSP consultants prepared data visualization maps to illustrate Chicago climate and environmental justice trends. This methodology appendix discusses the data sources used for these maps. The Equity Map series is built upon two publicly available data sets : 1.",IMPLEMENTATION TABLE,Umbrella initiative/strategy heading with specific action commitments listed beneath it.,Adaptation,Nature-Based Solutions,False,direct
individual,,EV Readiness Ordinance (2020) requires 20% of parking spaces in certain new residential and non-residential construction to be EV-ready.,"EV Readiness Ordinance, 2020: This ordinance requires new construction of a residential building with 5 or more units and on-site parking to have 20% of parking spaces EV Ready, and in non-residential buildings with 30 or more parking spaces to provide 20% of parking spaces as EV ready. Despite these efforts, the City fell short of its 2020 reduction target primarily because of funding gaps, limited City staff capacity, and less coordination of climate targets and accountabilities across City departments and sister agencies. This shortfall has not been unique to Chicago.",CLIMATE FINANCING AND DELIVERY CAPACITY,Binding ordinance establishing EV-ready parking requirements for new construction; supports vehicle electrification.,Resource Efficiency,,False,direct
