iteration,location,role,parent_statement,policy_statement,source_quote,section_header,extraction_rationale,primary_category,financial_instrument,climate_relevance,secondary_category
2,Seattle_US,individual,,Double the City's budget allocation from 2021 to 2025 and set a target of an overall 40% energy and carbon emissions reduction in municipal buildings by 2025.,"Building on existing efforts to reduce energy use 20 percent by 2020, the City will double its budget allocation from 2021 to 2025, and set a new target to achieve an overall 40 percent energy and carbon emissions reduction in municipal buildings by 2025. <!-- image -->",Improve municipal building energy efficiency and reduce carbon emissions by 2025,Resource allocation (budget doubling 2021–2025) plus quantified reduction target and deadline (40% by 2025).,Mitigation,yes,direct,Resource Efficiency
2,Seattle_US,individual,,"OSE will propose recommendations to the mayor to accelerate conversion of 18,000 homes from heating oil to an electric heat pump, including a financing plan and incentives.","OSE will propose recommendations to the mayor aimed at accelerating the transition of 18,000 homes from heating with oil to an electric heat pump, and adequately serving those unable to finance the switch alone. Recommendations will include a financing plan to support low-income residents, as well as a combination of public and private incentives to spur action.",Oil to heat pump conversion,"Quantified scale (18,000 homes) and explicit financing plan/public-private incentives (financial instrument); deliverable is recommendations to the mayor.",Mitigation,yes,direct,
3,Seattle_US,individual,,The Mayor and City Council adopted a climate protection goal for Seattle to become carbon neutral by 2050 and directed the creation of a plan to meet the goal.,"In 2011, the Mayor and City Council adopted a bold climate protection goal for our community to become carbon neutral by 2050 and directed the creation of a plan to meet the goal (Resolution 31312). The resulting 2013 Climate Action Plan (CAP) provided a coordinated strategy aimed at reducing GHG emissions while also supporting other community goals, including building vibrant neighborhoods, fostering economic prosperity, and enhancing racial and social justice.",## | Background,Contains a quantified mitigation goal (carbon neutral by 2050) plus a directive to create a plan to meet it.,Mitigation,no,direct,
3,Seattle_US,individual,,The City Council adopted Resolution 31757 affirming Seattle's commitment to the Paris Agreement goals and directing OSE to identify actions necessary to do Seattle's part to limit warming to 1.5°C.,"In response to the Trump administration's withdrawal of support for the international Paris Climate Agreement last year, the City Council adopted Resolution 31757, affirming Seattle's commitment to the goals established in the Paris Agreement, and directing the Office of Sustainability & Environment (OSE) to identify the actions necessary to do our part to limit warming to 1.5 degrees Celsius.",## | Background,Adopted resolution includes a concrete directive to a City office tied to a mitigation temperature goal.,Mitigation,no,direct,
3,Seattle_US,individual,,"The City will develop and release a strategy to address congestion and transportation emissions through pricing, coupled with investments in expanded transit and electrification in underserved communities.","Announce that the City will develop and release a strategy to address congestion and transportation emissions through pricing, coupled with investments in expanded transit and electrification in underserved communities.",## Improving mobility through pricing,Commits to a defined deliverable (a released strategy) explicitly framed around reducing transportation emissions; specific pricing design is not yet specified.,Mitigation,no,direct,
3,Seattle_US,individual,,The City will pass a new electric vehicle readiness ordinance in 2018 to ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.,"Pass a new electric vehicle readiness ordinance in 2018, which will ensure new construction or renovation of parking structures is built with electric vehicle infrastructure.",## Electric vehicle readiness ordinance for new construction,Uses a binding mechanism (ordinance) with a stated year and defined scope (new construction or renovation of parking structures).,Mitigation,no,direct,
3,Seattle_US,individual,,The City will release a map of optimal distribution of charging infrastructure in 2018.,Release map of optimal distribution of charging infrastructure in 2018.,## Charging station network map &amp; strategy,Concrete public deliverable with a deadline (2018) to guide charging infrastructure deployment.,Mitigation,no,direct,
3,Seattle_US,individual,,The City will work with community and business stakeholders to develop recommendations for making all new for-hire vehicles in Seattle electric.,"Work with community and business stakeholders to develop recommendations for making all new forhire vehicles in Seattle electric. The city will work with these stakeholders to create recommendations on how to electrify shared vehicle fleets, determine a year after which all such vehicles must be electric, and prepare for the City to begin permitting only electric vehicles for for-hire use.",## Ride share and taxi fleet electrification,"Commits to a specific deliverable (recommendations) with a stated electrification intent; it also states preparation for a future permitting restriction, but without a specified year.",Mitigation,no,direct,
3,Seattle_US,individual,,The City will create a new Green Fleet Action Plan by the end of 2018 to accelerate electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles.,"Create a new Green Fleet Action Plan, by the end of 2018, to accelerate the electrification of the municipal fleet and phase out fossil fuel use in municipal vehicles. The Green Fleet Action Plan will outline a strategy for infrastructure and vehicle deployment as well as identify pathways for heavy duty electrification, in conjunction with key city departments and with emergency management considerations.",## Green Fleet Action Plan update,Clear commitment with deadline to create a plan for municipal fleet electrification and fossil-fuel phaseout.,Mitigation,no,direct,
3,Seattle_US,individual,,"The Mayor will issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments.","Issue an Executive Order directing City departments to assess the GHG emissions impact of City plans, policies, and major investments. The Mayor will direct the Office of Sustainability & Environment to work with departments to define the types of projects to assess, the assessment method, and how to account for the broader costs of carbon, by October 2018.",## Assess GHG Emissions Impact of City decisions,Executive Order is a binding governance instrument establishing GHG impact assessment; includes an October 2018 milestone.,Mitigation,no,direct,
3,Seattle_US,individual,,The City will make legislation to allow for tiered energy codes a priority in the 2019 legislative session.,Legislation to allow for tiered energy codes will be a priority for the City of Seattle in the 2019 legislative session.,## Washington State tiered residential energy code,Specifies a City legislative priority and session; it is a concrete commitment though dependent on state enactment.,Resource Efficiency,no,direct,
3,Seattle_US,individual,,"The City will create a pilot program offering additional height and floor area incentives for significant upgrades in energy and water use and transportation efficiency, for up to 20 major renovations.","Create pilot program offering additional height and floor area incentives for significant upgrades in energy and water use, and transportation efficiency. A new pilot will offer additional height and floor area incentives for up to 20 major renovations in urban centers outside the International District.","## Establish new 2030 Challenge pilot for 20 upgraded, high performing projects by 2025",Commits to creating a bounded pilot program (up to 20 renovations) using development incentives to drive efficiency upgrades.,Resource Efficiency,no,direct,
3,Seattle_US,individual,,"The City will provide programs and incentives to improve energy efficiency and reduce carbon emissions, backed by a minimum performance standard beginning in 2030 for commercial and multifamily buildings.","Provide programs and incentives to spur improved energy efficiency and reduced carbon emissions, backed by a minimum performance standard beginning in 2030. Leading up to 2030, the city will work with building owners through incentives, technical assistance and other programs to help them become voluntary early adopters of the standards, and would then phase in performance requirements beginning in 2030.",## Incentive-driven 2030 performance standards for commercial and multifamily buildings,Explicitly combines efficiency programs with reduced carbon emissions and a future minimum performance standard beginning in 2030.,Resource Efficiency,no,direct,Mitigation
3,Seattle_US,individual,,Seattle City Light will scale Pay for Performance efforts and will pilot Energy Efficiency as a Service in up to 30 buildings.,"Scale Pay for Performance efforts and pilot an innovative utility program exploring Energy Efficiency as a Service in up to 30 buildings to unlock greater levels of energy efficiency depth at scale. Seattle City Light will pilot Energy Efficiency as a Service (EEaS), which is explicitly designed to help participants overcome the split incentive barrier in commercial buildings, where there is little motivation for a building owner or investor to finance deep energy retrofits whose benefits accrue to tenants.",## City Light Whole Building Pay for Performance (P4P) Programs,"Commits to scaling and piloting incentive-based efficiency programs, including a bounded pilot (up to 30 buildings).",Resource Efficiency,yes,direct,
3,Seattle_US,individual,,The City will double its budget allocation from 2021 to 2025 for reducing energy in municipal buildings and set a new target of an overall 40% energy and carbon emissions reduction in municipal buildings by 2025.,"Building on existing efforts to reduce energy use 20 percent by 2020, the City will double its budget allocation from 2021 to 2025, and set a new target to achieve an overall 40 percent energy and carbon emissions reduction in municipal buildings by 2025.",## Improve municipal building energy efficiency and reduce carbon emissions by 2025,Contains both a funding/budget commitment and a quantified energy and carbon reduction target with a deadline (2025).,Resource Efficiency,yes,direct,Mitigation
3,Seattle_US,individual,,Seattle amended the Seattle Electrical Code in 2017 to require adequate electrical capacity to serve one electric vehicle charging station per parking space and to require construction documents to show equipment and conduit locations for future EV charging stations.,"In 2017, the Seattle Electrical Code was amended to ensure new parking is built to facilitate future electric vehicle charging infrastructure. The code requires adequate electrical capacity to serve one electric vehicle charging station per parking space and that construction documents show the location of equipment and conduit for future installation of electric vehicles charging stations.",## Electrical Code,Binding code amendment with explicit EV-readiness requirements for new parking.,Mitigation,no,direct,
3,Seattle_US,individual,,"Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings 20,000 square feet or larger to track energy performance and annually report to the City, and the policy was updated in 2016 to make reported data publicly available.","Adopted in 2010, Seattle's Energy Benchmarking Program (SMC 22.920) requires owners of nonresidential and multi-family buildings (20,000 square feet or larger) to track energy performance and annually report to the City. The policy was updated in 2016 to make reported data publicly available to further increase awareness of building energy use and support real estate market transformation.",## Benchmarking,Ongoing regulatory reporting requirement intended to support building energy performance improvements.,Resource Efficiency,no,direct,
3,Seattle_US,individual,,"Seattle's Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 square feet or larger to identify low- or no-cost operations and maintenance improvements to improve energy and water efficiency, with compliance deadlines phased in beginning in early 2019.","Adopted in 2016, the Building Tune-Ups Ordinance (SMC 22.930) requires commercial buildings 50,000 square feet or larger to identifying low- or no-cost building operations and maintenance improvements to improve energy and water efficiency. Compliance deadlines will be phased in by building size, beginning in early 2019.",## Tune Ups,Binding ordinance with a defined building-size threshold and a compliance start timeframe.,Resource Efficiency,no,direct,
3,Seattle_US,individual,,The City committed (Resolution 31652) to meeting the Building Tune-Ups deadline one year earlier than required for private owners.,"To demonstrate leadership, build capacity in the industry, and help reduce compliance costs, the city has committed (Resolution 31652) to meeting the Building Tune-Ups deadline one year earlier than required for private owners.",## Tune Ups,Explicit City commitment via resolution to accelerated compliance with an existing building efficiency mandate.,Resource Efficiency,no,direct,
3,Seattle_US,individual,,The City adopted a Resource Conservation Management Plan (Resolution 31491) with the goal to achieve a 20% reduction in energy use across City-owned buildings by 2020 (2008 baseline).,"In 2013, the City adopted a Resource Conservation Management Plan (Resolution 31491), with the goal to achieve a 20 percent reduction in energy use across City-owned buildings by 2020 (2008 baseline). The Office of Sustainability & Environment manages the dedicated funding and works with individual capital departments to prioritize, develop and implement energy efficiency projects.",## Municipal Buildings,Adopted plan with a quantified municipal energy reduction target and a deadline (2020).,Resource Efficiency,no,direct,
3,Seattle_US,individual,,"The Green Fleet Action Plan guides the City's efforts to meet the goal to reduce municipal fleet emissions by 50% by 2025 by increasingly electrifying the fleet, using cleaner fuels when electrification is not feasible, increasing efficiency in how vehicles are used, and setting standards for vehicle procurement.","The Green Fleet Action Plan guides the City's efforts to meet the goal to reduce municipal fleet emissions by 50 percent by 2025 by increasingly electrifying the fleet, using cleaner fuels when electrification is not feasible, increasing efficiency in how vehicles are used, and setting standards for vehicle procurement.",## Municipal Fleet,"States an explicit municipal fleet emissions reduction goal with a deadline and identifies mechanisms used to meet it, though it is described as a guiding plan rather than a new adoption in this document.",Mitigation,no,direct,Resource Efficiency
3,Seattle_US,individual,,The 2015 Seattle Energy Code includes criteria that address emissions by requiring either non-fossil fuel-based heating or more efficient windows.,"The 2015 SEC includes criteria that address emissions, by requiring either non-fossil fuel-based heating or more efficient windows. Seattle City Light provides an annual grant to Seattle Department of Construction and Inspections to help make possible the work to develop and implement Seattle's advanced code.",## Energy Code,Describes an existing binding code requirement explicitly framed as addressing emissions; also notes an ongoing City Light grant supporting code development/implementation (amount not specified).,Mitigation,yes,direct,Resource Efficiency
